BK,C,JPM,NTRS,STT,^GSPC
23.207502365112305,62.8204460144043,24.580257415771484,41.536102294921875,33.45491409301758,903.25
23.36314582824707,66.84617614746094,24.738065719604492,42.39646911621094,34.960514068603516,931.7999877929688
22.71599006652832,66.28448486328125,23.080978393554688,41.98223114013672,35.326255798339844,927.4500122070312
22.6832218170166,69.84210205078125,23.57809829711914,43.15327072143555,37.656978607177734,934.7000122070312
21.937759399414062,66.93982696533203,22.165630340576172,41.63170623779297,35.91320037841797,906.6500244140625
21.610088348388672,67.033447265625,21.479116439819336,41.719329833984375,36.76383590698242,909.72998046875
20.962932586669922,63.194942474365234,20.492746353149414,39.958797454833984,35.35179901123047,890.3499755859375
20.520572662353516,52.42839050292969,19.656309127807617,38.62843322753906,33.174198150634766,870.260009765625
20.692598342895508,55.237060546875,20.79261016845703,38.43723678588867,33.05511474609375,871.7899780273438
19.15254020690918,42.410823822021484,20.445405960083008,37.63264846801758,31.549518585205078,842.6199951171875
19.06242561340332,35.857261657714844,19.20652961730957,38.46113586425781,32.323577880859375,843.739990234375
18.8084716796875,32.76776123046875,18.007112503051758,40.69168472290039,30.92005157470703,850.1199951171875
15.564502716064453,26.214195251464844,14.274703979492188,34.99581527709961,12.665740966796875,805.219970703125
19.0822811126709,34.35930633544922,17.857175827026367,45.813995361328125,14.52009391784668,840.239990234375
18.31899070739746,29.116483688354492,18.228050231933594,43.40022277832031,17.83751678466797,827.5
19.812389373779297,32.48687744140625,19.159183502197266,45.04924011230469,16.502038955688477,831.9500122070312
19.779203414916992,31.176164627075195,19.332786560058594,43.98175811767578,17.420713424682617,836.5700073242188
20.484420776367188,33.23585510253906,19.77467155456543,44.7066764831543,16.689170837402344,845.7100219726562
23.280384063720703,39.41490936279297,21.82631492614746,48.76948928833008,21.920488357543945,874.0900268554688
21.488313674926758,36.521305084228516,20.06663703918457,45.27229690551758,20.47443962097168,845.1400146484375
21.355566024780273,33.243751525878906,20.129772186279297,45.82196807861328,19.793941497802734,825.8800048828125
22.55028533935547,34.18020248413086,19.885154724121094,48.068450927734375,19.998090744018555,825.4400024414062
22.525390625,32.40095520019531,18.977691650390625,46.95316696166992,20.568002700805664,838.510009765625
22.807470321655273,32.68189239501953,18.96980094909668,46.562828063964844,20.525476455688477,832.22998046875
22.807470321655273,33.05646896362305,19.364355087280273,48.068450927734375,23.426088333129883,845.8499755859375
23.570768356323242,36.614959716796875,21.802644729614258,49.088130950927734,25.93541717529297,868.5999755859375
23.44631576538086,36.989524841308594,21.526460647583008,49.6457633972168,25.969444274902344,869.8900146484375
21.5380916595459,31.37086296081543,19.427474975585938,46.180442810058594,22.6350154876709,827.1599731445312
22.940223693847656,34.554786682128906,20.587440490722656,48.60218811035156,24.22567367553711,833.739990234375
22.342864990234375,33.80562973022461,20.666353225708008,47.821495056152344,23.477130889892578,835.1900024414062
20.957326889038086,32.68189239501953,19.482707977294922,45.87771987915039,22.96675682067871,826.8400268554688
19.190139770507812,28.655176162719727,17.083866119384766,44.125144958496094,19.742902755737305,789.1699829101562
19.64646339416504,27.25050926208496,16.973398208618164,45.42364501953125,20.1426944732666,788.4199829101562
19.364364624023438,23.504735946655273,16.25532341003418,43.87022399902344,19.104934692382812,778.9400024414062
18.941242218017578,18.260652542114258,15.702951431274414,45.00143814086914,19.326095581054688,770.0499877929688
17.98712921142578,20.039894104003906,15.395209312438965,43.559539794921875,18.968839645385742,743.3300170898438
20.218929290771484,24.347537994384766,16.586734771728516,48.42693328857422,22.532939910888672,773.1400146484375
19.73771858215332,23.598386764526367,17.146997451782227,46.31586456298828,21.920488357543945,764.9000244140625
19.32288932800293,23.036518096923828,18.1885986328125,45.28026580810547,23.111360549926758,752.8300170898438
18.39366340637207,14.04665470123291,18.03078269958496,44.25261306762695,21.495180130004883,735.0900268554688
17.74652099609375,11.237326622009277,16.697208404541016,43.27275085449219,18.586055755615234,700.8200073242188
18.42684555053711,11.424613952636719,16.57884979248047,43.264793395996094,18.55202865600586,696.3300170898438
18.22772789001465,10.581812858581543,15.229498863220215,42.276981353759766,18.960330963134766,712.8699951171875
16.30290985107422,9.551726341247559,13.098943710327148,38.7479248046875,16.42548179626465,682.5499877929688
15.141378402709961,9.645367622375488,12.570256233215332,37.96270751953125,15.29415512084961,683.3800048828125
14.95055866241455,9.832656860351562,12.546581268310547,38.36332321166992,14.97943115234375,676.530029296875
17.057897567749023,13.578433990478516,15.387317657470703,43.07460403442383,17.701416015625,719.5999755859375
18.692338943481445,14.421236038208008,16.097501754760742,44.11623001098633,18.67962646484375,721.3599853515625
20.459531784057617,15.638614654541016,18.306961059570312,47.30514907836914,20.28730010986328,750.739990234375
19.63816261291504,16.6686954498291,18.740955352783203,47.05677032470703,19.275062561035156,756.5499877929688
18.80019760131836,21.81913185119629,18.22016143798828,44.46875762939453,19.66634750366211,753.8900146484375
20.36825942993164,23.504735946655273,19.837800979614258,48.0503044128418,21.767383575439453,778.1199951171875
23.338457107543945,28.842472076416016,21.392316818237305,49.492530822753906,24.710525512695312,794.3499755859375
20.857772827148438,24.347537994384766,19.687877655029297,45.33411407470703,23.009286880493164,784.0399780273438
19.746013641357422,24.53483009338379,18.267507553100586,46.31962585449219,21.001821517944336,768.5399780273438
23.006595611572266,29.310688018798828,22.773231506347656,51.76002502441406,25.493091583251953,822.9199829101562
21.820178985595703,28.18695640563965,20.832061767578125,48.81950378417969,24.804100036621094,806.1199951171875
22.981708526611328,27.625091552734375,22.5365047454834,51.736000061035156,25.374004364013672,813.8800048828125
